 redshift sorgente =   1.0000000E-03 fact PopIII=  0.0000000E+00
   E0 [TeV],    E0 [eV],       tau(E0)        e^tau
  2.0000009E-02  2.0000008E+10  8.8624060E-20   1.000000    
  2.4045298E-02  2.4045298E+10  8.8624060E-20   1.000000    
  2.8908806E-02  2.8908806E+10  8.8624060E-20   1.000000    
  3.4756031E-02  3.4756030E+10  8.8624060E-20   1.000000    
  4.1785937E-02  4.1785938E+10  5.3611324E-09   1.000000    
  5.0237749E-02  5.0237747E+10  5.2571813E-06   1.000005    
  6.0399055E-02  6.0399055E+10  3.1057538E-05   1.000031    
  7.2615631E-02  7.2615633E+10  8.9016357E-05   1.000089    
  8.7303191E-02  8.7303193E+10  1.9081727E-04   1.000191    
  0.1049615      1.0496152E+11  3.5441271E-04   1.000355    
  0.1261915      1.2619151E+11  6.1723398E-04   1.000617    
  0.1517156      1.5171556E+11  1.0369943E-03   1.001037    
  0.1824022      1.8240222E+11  1.6799592E-03   1.001681    
  0.2192957      2.1929571E+11  2.6300540E-03   1.002634    
  0.2636514      2.6365143E+11  3.9923387E-03   1.004000    
  0.3169787      3.1697872E+11  5.8534630E-03   1.005871    
  0.3810923      3.8109227E+11  8.2708653E-03   1.008305    
  0.4581737      4.5817368E+11  1.1249714E-02   1.011313    
  0.5508459      5.5084594E+11  1.4705401E-02   1.014814    
  0.6622624      6.6226245E+11  1.8503347E-02   1.018676    
  0.7962146      7.9621456E+11  2.2520941E-02   1.022776    
  0.9572604      9.5726043E+11  2.6544005E-02   1.026899    
   1.150880      1.1508802E+12  3.0360131E-02   1.030826    
   1.383662      1.3836624E+12  3.3879355E-02   1.034460    
   1.663528      1.6635279E+12  3.6974080E-02   1.037666    
   2.000000      2.0000005E+12  3.9647471E-02   1.040444    
   2.404530      2.4045295E+12  4.2032771E-02   1.042929    
   2.890880      2.8908803E+12  4.4309635E-02   1.045306    
   3.475603      3.4756027E+12  4.7061175E-02   1.048186    
   4.178594      4.1785934E+12  5.0931841E-02   1.052251    
   5.023774      5.0237743E+12  5.6459684E-02   1.058084    
   6.039905      6.0399047E+12  6.4368382E-02   1.066485    
   7.261563      7.2615629E+12  7.4768692E-02   1.077635    
   8.730319      8.7303190E+12  8.9787394E-02   1.093942    
   10.49615      1.0496151E+13  0.1111194       1.117528    
   12.61915      1.2619150E+13  0.1427630       1.153456    
   15.17155      1.5171555E+13  0.1920320       1.211709    
   18.24022      1.8240221E+13  0.2669493       1.305974    
   21.92957      2.1929568E+13  0.3851374       1.469816    
   26.36514      2.6365141E+13  0.5689638       1.766436    
   31.69787      3.1697872E+13  0.8478927       2.334722    
   38.10922      3.8109224E+13   1.251698       3.496276    
   45.81736      4.5817361E+13   1.798959       6.043352    
   55.08458      5.5084583E+13   2.474098       11.87099    
   66.22623      6.6226236E+13   3.242216       25.59038    
   79.62144      7.9621446E+13   4.047132       57.23310    
   95.72604      9.5726038E+13   4.821442       124.1440    
   115.0880      1.1508801E+14   5.496222       243.7691    
   138.3662      1.3836622E+14   6.042172       420.8060    
   166.3528      1.6635279E+14   6.410396       608.1345    
 redshift sorgente =   4.0000002E-03 fact PopIII=  0.0000000E+00
   E0 [TeV],    E0 [eV],       tau(E0)        e^tau
  2.0000009E-02  2.0000008E+10  1.1808109E-19   1.000000    
  2.4045298E-02  2.4045298E+10  1.1808109E-19   1.000000    
  2.8908806E-02  2.8908806E+10  1.1808109E-19   1.000000    
  3.4756031E-02  3.4756030E+10  1.1808109E-19   1.000000    
  4.1785937E-02  4.1785938E+10  9.7010968E-09   1.000000    
  5.0237749E-02  5.0237747E+10  7.1277227E-06   1.000007    
  6.0399055E-02  6.0399055E+10  4.1766507E-05   1.000042    
  7.2615631E-02  7.2615633E+10  1.1938022E-04   1.000119    
  8.7303191E-02  8.7303193E+10  2.5557345E-04   1.000256    
  0.1049615      1.0496152E+11  4.7436039E-04   1.000474    
  0.1261915      1.2619151E+11  8.2577579E-04   1.000826    
